"id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at","customer_id","executive_id","followup_date_en","followup_date_np","followup_mode","followup_status","followup_notes","next_followup","next_followup_date_en","next_followup_date_np"
"48","108","108","\N","2016-12-21 18:19:10","2016-12-21 18:19:10","\N","2794","8","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
"49","109","109","\N","2016-12-22 10:18:55","2016-12-22 10:18:55","\N","2795","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"2","109","2","\N","2016-12-19 15:40:16","2016-12-19 15:49:54","\N","2763","9","2016-12-19","2073-09-04","Phone","Completed","Call me back 25th dec","f","\N","\N"
"1","109","2","\N","2016-12-19 15:34:31","2016-12-19 15:50:30","\N","2763","9","2016-12-19","2073-09-04","Phone","Completed","","t","2016-12-25","2073-09-10"
"50","109","109","\N","2016-12-22 10:21:31","2016-12-22 10:21:31","\N","2796","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"6","103","103","\N","2016-12-20 16:55:09","2016-12-20 16:56:52","\N","2764","3","2016-12-20","","Phone","In Progress","not in contact","t","2016-12-27","2073-09-12"
"7","103","103","\N","2016-12-20 17:24:31","2016-12-20 17:28:12","\N","2765","3","2016-12-23","2073-09-08","Phone","In Progress","CALL ME AT FRIDAY","t","2016-12-23","2073-09-08"
"10","105","106","\N","2016-12-21 12:01:44","2016-12-21 12:02:36","\N","2757","5","2016-11-07","2073-07-22","Phone","Postponed","Family reason. Investment in his house","f","\N","\N"
"11","106","106","\N","2016-12-21 12:04:04","2016-12-21 12:11:08","\N","2736","6","2016-11-28","2073-08-13","Phone","Completed","Family Decision awaiting","t","2016-12-26","2073-09-11"
"14","106","106","\N","2016-12-21 12:33:29","2016-12-21 12:33:29","\N","2766","6","2016-11-14","2073-07-29","Visit","Completed","Will do finance.","t","2016-12-09","2073-08-24"
"15","106","106","\N","2016-12-21 12:33:29","2016-12-21 12:35:27","\N","2766","6","2016-12-09","2073-08-24","Phone","Completed","Please send the Quotation","t","2016-12-20","2073-09-05"
"16","106","106","\N","2016-12-21 12:35:27","2016-12-21 12:55:12","\N","2766","6","2016-12-21","2073-09-06","Phone","Completed","Quotation Sent","f","\N","\N"
"51","109","109","\N","2016-12-22 10:23:37","2016-12-22 10:23:37","\N","2797","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"52","109","109","\N","2016-12-22 10:25:32","2016-12-22 10:25:32","\N","2798","9","2016-12-24","2073-09-09","\N","Open","\N","\N","\N","\N"
"13","106","106","\N","2016-12-21 12:31:30","2017-01-31 10:42:03","\N","2766","6","2016-11-17","2073-08-02","Phone","Completed","","f","\N","\N"
"21","110","110","\N","2016-12-21 17:03:40","2016-12-21 17:03:40","\N","2769","10","2016-12-19","2073-09-04","\N","Open","\N","\N","\N","\N"
"22","110","110","\N","2016-12-21 17:19:49","2016-12-21 17:19:49","\N","2770","10","2016-12-23","2073-09-08","\N","Open","\N","\N","\N","\N"
